SOLVER;MONTH;PLANET;RELATIVE P. ERROR;RELATIVE V. ERROR;R.P.E. NORM;R.V.E. NORM
Rk+;6;SUN;(2.0022338492797265,0.005532980730616032,0.0030157162994434708);(-0.030112838975026104,-0.06724134535560684,0.019815963443271016);2.0022437652848555;0.07629452145175887
Rk+;6;MERCURY;(2.337620834064025,-1.9657779770680384,-2.033050088153305);(2.060249537191274,1.8305446276863173,-2.285667569412692);3.6690662136183994;3.5804745533676146
Rk+;6;VENUS;(11.507857534568545,1.5696096055291966,13.94500189756442);(-1.2325886402535653,4.428658933645112,1.082449843053041);18.148210304952133;4.722710277940236
Rk+;6;EARTH;(0.15942334948803832,6.604719338383894,0.5000796320997355);(-4.21966458317858,0.4827306866019159,-1.0992077947983612);6.62554246697017;4.3871238740733425
Rk+;6;MOON;(0.15809111357050992,6.632226238217921,-0.6099217624513246);(-4.381979664151736,0.4915285145448968,10.769026542596716);6.662088428669191;11.636807067782925
Rk+;6;MARS;(0.22764081057816588,1.1427716419983633,-0.5672856516827038);(-2.2300583829999954,0.15898196873102263,0.5108968460464323);1.295978539560509;2.2933493508993212
Rk+;6;JUPITER;(0.004104569973587144,-0.006554372067531155,-0.002546411814243858);(0.01936356288871896,0.08048914128835027,-0.008603732189366898);0.008141959284805255;0.08323144622477574
Rk+;6;SATURN;(7.353777772759786E-4,-8.570701492898925E-4,-3.7531699577340703E-4);(0.009600844286761645,0.028759275852364596,-6.109781578176671E-4);0.0011900472946196436;0.030325656676820294
Rk+;6;TITAN;(0.0031704803782070974,-1.7293279227574702E-5,-0.10464961743580115);(0.5416922933536917,3.7204943246804163,4.9542101209746505);0.1046976345212519;6.219301124999949
Rk+;6;URANUS;(1.0683179707005036E-4,1.0376884141887299E-4,-1.3096613707324354E-4);(-0.007466322871674288,0.0047738877843901415,0.00580528659226446);1.9832582881339293E-4;0.010594212298248583
Rk+;6;NEPTUNE;(2.737904545533732E-5,-4.565444736825364E-5,-4.0886209741756374E-5);(2.3293948842212237E-4,3.1993344994442373E-5,-0.0010834586441039497);6.712393642802068E-5;0.0011086780474393197
