SOLVER;MONTH;PLANET;RELATIVE P. ERROR;RELATIVE V. ERROR;R.P.E. NORM;R.V.E. NORM
Rk+;3;SUN;(-1.5888604546245957E-4,0.001270726587559662,5.445570805256854E-4);(-0.004724845890978056,-0.05473634599112232,0.002614145971634726);0.0013915937804274564;0.05500204996465458
Rk+;3;MERCURY;(7.90265363373592,-0.740094364115138,-1.7396310681339875);(0.7773403587527639,4.621478817708232,-0.4209684558442516);8.125637844244077;4.705267148280494
Rk+;3;VENUS;(1.1297750144687517,-0.4795344728823541,-0.6004168214610132);(0.16126096744457274,1.408815359628249,-0.0063782017504257);1.366325456651442;1.4180290894770817
Rk+;3;EARTH;(0.9618024600619237,-0.17554028048745368,0.07051119849876704);(0.12390329394594897,2.0004968766146685,0.01729411122679907);0.9802296625630723;2.0044048657591174
Rk+;3;MOON;(0.976971142653483,-0.17540742081438948,0.2933870366595812);(0.13553930410457551,2.3920976349474463,-0.57222425653098);1.0350441198974558;2.463319426676279
Rk+;3;MARS;(0.0205882726497373,-0.10636184654292034,-0.0597984082814887);(0.09357449728555298,0.21274970736342538,-3.1689546554344714);0.12374396552446214;3.177466322831019
Rk+;3;JUPITER;(0.0011924945101385667,-0.0015143232363115482,-6.276979751122E-4);(0.007421140067422997,0.052304937767749,-0.0021999585093598513);0.002027121794245145;0.05287456526753966
Rk+;3;SATURN;(1.9144183104852756E-4,-2.072284535667142E-4,-1.155489378597618E-4);(0.0043963752674808015,0.015606138109327095,-4.1952012883321E-4);3.048690926994468E-4;0.016218990699744685
Rk+;3;TITAN;(7.233780370514826E-4,-4.943325326234859E-5,-0.032873074612180885);(0.22798917547943862,0.0546079721574623,-2.1544289557974729E-4);0.03288106984100469;0.23443792605844663
Rk+;3;URANUS;(2.5720091721204146E-5,2.6126216406463845E-5,-3.8198706470890166E-5);(-0.003758515535669004,0.0023264381996740413,4.30055565093748E-4);5.2945665336397097E-5;0.0044411374126270805
Rk+;3;NEPTUNE;(2.1374815054996845E-5,-2.9297303121142415E-5,-2.9350623013624155E-5);(0.007370590284581354,5.787776472997768E-4,-0.005595713359647446);4.665483640626452E-5;0.009272140675783334
