APRIL
SUN VX = -1.420511660519414E1;VY = -4.954714684919104E0;VZ = 3.99423759988592E-1
MERCURY VX = 3.892585164132107E4;VY = 2.978342227951605E3;VZ = -3.32796413011577E3
VENUS VX = -1.726404276675418E4;VY = -3.073432498568155E4;VZ = 5.741783348533565E2
EARTH VX = 5.427193371063864E3;VY = -2.931056603506259E4;VZ = 6.575428116074852E-1
MARS VX = 2.481551959239763E4;VY = -1.816367993839315E3;VZ = -6.467321577627249E2
JUPITER VX = 1.255852546626294E4;VY = 3.622680182938116E3;VZ = -2.958620385189845E2
SATURN VX = 8.2208421339415E3;VY = 4.052137353045929E3;VZ = -3.976224693819078E2
TITAN VX = 3.05687794615761E3;VY = 6.125612917224867E3;VZ = -9.523587319894634E2
URANUS VX = -4.059468609332644E3;VY = 5.187467321685034E3;VZ = 7.182516190869795E1
NEPTUNE VX = 1.05198951225787E3;VY = 5.358319815712676E3;VZ = -1.344948707739122E2
MAY
SUN VX = -1.414728551082128E1;VY = -5.544797760001062E0;VZ = 4.009183494162074E-1
MERCURY VX = -2.803099850688094E4;VY = 4.720084943577614E4;VZ = 6.427957566214065E3
VENUS VX = 1.136190694230567E4;VY = -3.320428773832004E4;VZ = -1.111624620502269E3
EARTH VX = 1.897797909964809E4;VY = -2.265451799653015E4;VZ = 6.1045563672231E-1
MARS VX = 2.490308834997505E4;VY = 5.393291944679392E3;VZ = -4.977765555365568E2
JUPITER VX = 1.241410152263551E4;VY = 4.175507873370753E3;VZ = -2.949445071783915E2
SATURN VX = 8.154166461907913E3;VY = 4.190113871691798E3;VZ = -3.97010507971233E2
TITAN VX = 5.781932764458556E3;VY = 8.886557827273595E3;VZ = -2.581709663585122E3
URANUS VX = -4.090656888268675E3;VY = 5.164228425080445E3;VZ = 7.240871343532282E1
NEPTUNE VX = 1.05198951225787E3;VY = 5.358319815712676E3;VZ = -1.344948707739122E2
JUNE
SUN VX = -1.403999527847322E1;VY = -6.200795798917962E0;VZ = 4.032009123033103E-1
MERCURY VX = -1.686933349183306E3;VY = -4.588688790176085E4;VZ = -3.595263142900004E3
VENUS VX = 3.24358634151947E4;VY = -1.272452229103952E4;VZ = -2.046714135145936E3
EARTH VX = 2.761277863065086E4;VY = -9.953139812221581E3;VZ = 9.696940310558394E-1
MARS VX = 2.260573268785007E4;VY = 1.284657941562363E4;VZ = -2.852031761715881E2
JUPITER VX = 1.223768423348433E4;VY = 4.739531284098344E3;VZ = -2.935037992244978E2
SATURN VX = 8.083033716979637E3;VY = 4.332286702270898E3;VZ = -3.965797898363148E2
TITAN VX = 7.677511903334012E3;VY = 9.425323618236007E3;VZ = -2.981530735684696E3
URANUS VX = -4.123471461358462E3;VY = 5.140076249342576E3;VZ = 7.23352450887228E1
NEPTUNE VX = 1.034270776378929E3;VY = 5.360728672298431E3;VZ = -1.349377273520409E2
JULY
SUN VX = -1.383841350511797E1;VY = -6.881689316993782E0;VZ = 3.996922200314293E-1
MERCURY VX = 3.831204281270468E4;VY = 1.022109022954353E4;VZ = -2.679577518748077E3
VENUS VX = 3.109647057253322E4;VY = 1.549071646248264E4;VZ = -1.58220849226484E3
EARTH VX = 2.888496598253367E4;VY = 4.731177897416665E3;VZ = 9.544504048010971E-1
MARS VX = 1.804129590742935E4;VY = 1.919903722618035E4;VZ = -4.008226489927033E1
JUPITER VX = 1.204362636880554E4;VY = 5.281460076682612E3;VZ = -2.914397391452662E2
SATURN VX = 8.01141734152169E3;VY = 4.469286897065113E3;VZ = -3.96228027171238E2
TITAN VX = 1.166265031486606E4;VY = 8.223560728738945E3;VZ = -2.695021936076836E3
URANUS VX = -4.154748862314906E3;VY = 5.116488584763766E3;VZ = 7.266901238024566E1
NEPTUNE VX = 1.016916266987438E3;VY = 5.363832459809669E3;VZ = -1.344436168373239E2
AUGUST
SUN VX = -1.350871823226296E1;VY = -7.541593802104506E0;VZ = 3.913696971834341E-1
MERCURY VX = -4.432789342785929E4;VY = 3.624810262945935E4;VZ = 7.028079490481047E3
VENUS VX = 8.541505527239146E3;VY = 3.37497452869308E4;VZ = -3.004053931982496E1
EARTH VX = 2.266068788245869E4;VY = 1.859998900160076E4;VZ = 5.89103777292319E-1
MARS VX = 1.13046406677684E4;VY = 2.395095498541035E4;VZ = 2.247853150243834E2
JUPITER VX = 1.182021562524408E4;VY = 5.83686836808451E3;VZ = -2.885466008026202E2
SATURN VX = 7.935840103389031E3;VY = 4.609818090075419E3;VZ = -3.958359747043937E2
TITAN VX = 1.286272902340323E4;VY = 6.90187255197616E3;VZ = -2.067945652357734E3
URANUS VX = -4.187376854854987E3;VY = 5.092045205536703E3;VZ = 7.325502222496543E1
NEPTUNE VX = 9.989246005583578E2;VY = 5.367917402744855E3;VZ = -1.330345202377637E2
SEPTEMBER
SUN VX = -1.314187750009297E1;VY = -8.102653964787912E0;VZ = 3.858481775894403E-1
MERCURY VX = 9.86841474553194E3;VY = -4.233792500362446E4;VZ = -4.365065906092769E3
VENUS VX = -2.017744400265293E4;VY = 2.854981528146586E4;VZ = 1.555893366483062E3
EARTH VX = 1.029539004234573E4;VY = 2.763205118010904E4;VZ = -3.506029437169285E-1
MARS VX = 3.35043794309824E3;VY = 2.616840218974576E4;VZ = 4.664108736769469E2
JUPITER VX = 1.156562405812921E4;VY = 6.380457915130296E3;VZ = -2.852258110286767E2
SATURN VX = 7.858062960522314E3;VY = 4.749237038854423E3;VZ = -3.9535503950974E2
TITAN VX = 1.340286818160709E4;VY = 5.317422440197054E3;VZ = -1.240402495405598E3
URANUS VX = -4.219133688382026E3;VY = 5.067193696323809E3;VZ = 7.352501659064308E1
NEPTUNE VX = 9.826184805277628E2;VY = 5.372066887592342E3;VZ = -1.32884961692156E2
OCTOBER
SUN VX = -1.278110010592181E1;VY = -8.589317654844452E0;VZ = 3.801447020199521E-1
MERCURY VX = 3.572146147389341E4;VY = 1.986722313585282E4;VZ = -1.653421392603838E3
VENUS VX = -3.49018025707213E4;VY = 3.999274570012738E3;VZ = 2.068693765975998E3
EARTH VX = -4.640905448006593E3;VY = 2.936680193992434E4;VZ = -1.057806164490763E0
MARS VX = -4.492720329475789E3;VY = 2.567876820495302E4;VZ = 6.485849394601972E2
JUPITER VX = 1.129663925190725E4;VY = 6.897124120404195E3;VZ = -2.813930174851654E2
SATURN VX = 7.780974066387959E3;VY = 4.883425827280393E3;VZ = -3.950190558244494E2
TITAN VX = 1.236045753113259E4;VY = 1.980730421009107E3;VZ = 6.452588068084223E2
URANUS VX = -4.250433007266072E3;VY = 5.043116079482627E3;VZ = 7.387004671186911E1
NEPTUNE VX = 9.660696423873351E2;VY = 5.375062204766817E3;VZ = -1.330124393880455E2
NOVEMBER
