day,x,y,z
0,-1.471922101663588E11,-2.860995816266412E10,8278183.19359608
1,-3.987856394112584E21,2.1537042194311246E22,-4.8315300815787027E17
2,-7.975712788077976E21,4.3074084388651106E22,-9.6630601632401869E17
3,-1.1963569182043368E22,6.461112658299096E22,-1.4494590244901673E18
4,-1.595142557600876E22,8.614816877733082E22,-1.9326120326563159E18
5,-1.993928196997415E22,1.0768521097167068E23,-2.4157650408224645E18
6,-2.392713836393954E22,1.2922225316601053E23,-2.8989180489886131E18
7,-2.7914994757904934E22,1.5075929536035037E23,-3.3820710571547617E18
8,-3.1902851151870328E22,1.7229633755469022E23,-3.8652240653209103E18
9,-3.589070754583572E22,1.9383337974903007E23,-4.3483770734870589E18
10,-3.9878563939801115E22,2.153704219433699E23,-4.831530081653207E18
11,-4.386642033376651E22,2.3690746413770976E23,-5.3146830898193551E18
12,-4.78542767277319E22,2.584445063320496E23,-5.7978360979855032E18
13,-5.18421331216973E22,2.7998154852638946E23,-6.2809891061516513E18
14,-5.582998951566269E22,3.015185907207293E23,-6.7641421143177994E18
15,-5.981784590962808E22,3.2305563291506915E23,-7.2472951224839475E18
16,-6.380570230359348E22,3.44592675109409E23,-7.7304481306500956E18
17,-6.779355869755887E22,3.661297173037489E23,-8.2136011388162437E18
18,-7.1781415091524264E22,3.876667594980888E23,-8.6967541469823918E18
19,-7.576927148548966E22,4.092038016924287E23,-9.1799071551485399E18
20,-7.975712787945504E22,4.3074084388676855E23,-9.663060163314688E18
21,-8.374498427342043E22,4.522778860811084E23,-1.0146213171480836E19
22,-8.773284066738581E22,4.738149282754483E23,-1.0629366179646984E19
23,-9.17206970613512E22,4.953519704697882E23,-1.1112519187813132E19
24,-9.570855345531658E22,5.168890126641281E23,-1.159567219597928E19
25,-9.969640984928197E22,5.3842605485846795E23,-1.2078825204145428E19
26,-1.0368426624324735E23,5.5996309705280783E23,-1.2561978212311577E19
27,-1.0767212263721274E23,5.815001392471477E23,-1.3045131220477725E19
28,-1.1165997903117813E23,6.030371814414876E23,-1.3528284228643873E19
29,-1.1564783542514351E23,6.245742236358275E23,-1.401143723681002E19
30,-1.196356918191089E23,6.461112658301673E23,-1.4494590244976169E19
31,-1.2362354821307428E23,6.676483080245071E23,-1.4977743253142317E19
32,-1.2761140460703967E23,6.891853502188469E23,-1.5460896261308465E19
33,-1.3159926100100505E23,7.107223924131867E23,-1.5944049269474613E19
34,-1.3558711739497044E23,7.322594346075265E23,-1.6427202277640761E19
35,-1.3957497378893582E23,7.537964768018664E23,-1.691035528580691E19
36,-1.435628301829012E23,7.753335189962062E23,-1.7393508293973058E19
37,-1.475506865768666E23,7.96870561190546E23,-1.7876661302139206E19
38,-1.5153854297083198E23,8.184076033848858E23,-1.8359814310305354E19
39,-1.5552639936479738E23,8.399446455792256E23,-1.8842967318471504E19
40,-1.5951425575876278E23,8.614816877735654E23,-1.9326120326637654E19
41,-1.635021121527282E23,8.830187299679052E23,-1.9809273334803804E19
42,-1.674899685466936E23,9.04555772162245E23,-2.0292426342969954E19
43,-1.71477824940659E23,9.260928143565849E23,-2.0775579351136104E19
44,-1.754656813346244E23,9.476298565509247E23,-2.1258732359302255E19
45,-1.794535377285898E23,9.691668987452645E23,-2.1741885367468405E19
46,-1.834413941225552E23,9.907039409396043E23,-2.2225038375634555E19
47,-1.874292505165206E23,1.0122409831339441E24,-2.2708191383800705E19
48,-1.91417106910486E23,1.0337780253282839E24,-2.3191344391966855E19
49,-1.954049633044514E23,1.0553150675226237E24,-2.3674497400133005E19
50,-1.993928196984168E23,1.0768521097169636E24,-2.4157650408299155E19
51,-2.033806760923822E23,1.0983891519113034E24,-2.4640803416465306E19
52,-2.073685324863476E23,1.1199261941056432E24,-2.5123956424631456E19
53,-2.11356388880313E23,1.141463236299983E24,-2.5607109432797606E19
54,-2.153442452742784E23,1.1630002784943228E24,-2.6090262440963756E19
55,-2.193321016682438E23,1.1845373206886626E24,-2.6573415449129906E19
56,-2.233199580622092E23,1.2060743628830024E24,-2.7056568457296056E19
57,-2.2730781445617462E23,1.2276114050773423E24,-2.7539721465462206E19
58,-2.3129567085014002E23,1.249148447271682E24,-2.8022874473628357E19
59,-2.3528352724410542E23,1.270685489466022E24,-2.8506027481794507E19
60,-2.3927138363807082E23,1.2922225316603617E24,-2.8989180489960657E19
61,-2.4325924003203623E23,1.3137595738547015E24,-2.9472333498126807E19
62,-2.4724709642600163E23,1.3352966160490413E24,-2.9955486506292957E19
63,-2.5123495281996703E23,1.356833658243381E24,-3.0438639514459107E19
64,-2.5522280921393243E23,1.378370700437721E24,-3.0921792522625257E19
65,-2.5921066560789783E23,1.3999077426320608E24,-3.1404945530791408E19
66,-2.6319852200186324E23,1.4214447848264006E24,-3.1888098538957558E19
67,-2.6718637839582864E23,1.4429818270207404E24,-3.2371251547123708E19
68,-2.7117423478979404E23,1.4645188692150802E24,-3.285440455528986E19
69,-2.7516209118375944E23,1.48605591140942E24,-3.333755756345601E19
70,-2.7914994757772484E23,1.5075929536037598E24,-3.382071057162216E19
71,-2.8313780397169025E23,1.5291299957980996E24,-3.430386357978831E19
72,-2.8712566036565565E23,1.5506670379924395E24,-3.478701658795446E19
73,-2.9111351675962105E23,1.5722040801867793E24,-3.527016959612061E19
74,-2.9510137315358645E23,1.593741122381119E24,-3.575332260428676E19
75,-2.9908922954755185E23,1.615278164575459E24,-3.623647561245291E19
76,-3.0307708594151726E23,1.6368152067697987E24,-3.671962862061906E19
77,-3.070649423354826E23,1.6583522489641385E24,-3.7202781628785205E19
78,-3.11052798729448E23,1.6798892911584783E24,-3.7685934636951355E19
79,-3.1504065512341336E23,1.7014263333528181E24,-3.8169087645117506E19
80,-3.190285115173787E23,1.722963375547158E24,-3.8652240653283656E19
81,-3.230163679113441E23,1.7445004177414978E24,-3.9135393661449806E19
82,-3.270042243053095E23,1.7660374599358376E24,-3.961854666961596E19
83,-3.3099208069927484E23,1.7875745021301774E24,-4.010169967778211E19
84,-3.349799370932402E23,1.8091115443245172E24,-4.058485268594826E19
85,-3.389677934872056E23,1.830648586518857E24,-4.106800569411441E19
86,-3.4295564988117094E23,1.8521856287131968E24,-4.155115870228056E19
87,-3.469435062751363E23,1.8737226709075367E24,-4.203431171044671E19
88,-3.509313626691017E23,1.8952597131018765E24,-4.251746471861286E19
89,-3.5491921906306705E23,1.9167967552962163E24,-4.300061772677901E19
90,-3.589070754570324E23,1.938333797490556E24,-4.348377073494516E19
91,-3.628949318509978E23,1.959870839684896E24,-4.396692374311131E19
92,-3.6688278824496315E23,1.9814078818792357E24,-4.445007675127746E19
93,-3.708706446389285E23,2.0029449240735755E24,-4.493322975944361E19
94,-3.748585010328939E23,2.0244819662679153E24,-4.541638276760976E19
95,-3.7884635742685926E23,2.0460190084622552E24,-4.589953577577591E19
96,-3.828342138208246E23,2.067556050656595E24,-4.638268878394206E19
97,-3.8682207021479E23,2.0890930928509348E24,-4.686584179210821E19
98,-3.9080992660875536E23,2.1106301350452746E24,-4.734899480027436E19
99,-3.947977830027207E23,2.1321671772396144E24,-4.783214780844051E19
100,-3.987856393966861E23,2.1537042194339542E24,-4.831530081660666E19
101,-4.027734957906515E23,2.175241261628294E24,-4.879845382477281E19
102,-4.0676135218461684E23,2.1967783038226339E24,-4.928160683293896E19
103,-4.107492085785822E23,2.2183153460169737E24,-4.976475984110511E19
104,-4.147370649725476E23,2.2398523882113135E24,-5.024791284927126E19
105,-4.1872492136651294E23,2.2613894304056533E24,-5.073106585743741E19
106,-4.227127777604783E23,2.282926472599993E24,-5.121421886560356E19
107,-4.267006341544437E23,2.304463514794333E24,-5.169737187376971E19
108,-4.3068849054840905E23,2.3260005569886727E24,-5.218052488193586E19
109,-4.346763469423744E23,2.3475375991830125E24,-5.266367789010201E19
110,-4.386642033363398E23,2.3690746413773524E24,-5.314683089826816E19
111,-4.4265205973030515E23,2.3906116835716922E24,-5.362998390643431E19
112,-4.466399161242705E23,2.412148725766032E24,-5.411313691460046E19
113,-4.506277725182359E23,2.433685767960372E24,-5.459628992276661E19
114,-4.5461562891220126E23,2.455222810154712E24,-5.507944293093276E19
115,-4.586034853061666E23,2.476759852349052E24,-5.556259593909891E19
116,-4.62591341700132E23,2.498296894543392E24,-5.604574894726506E19
117,-4.6657919809409737E23,2.519833936737732E24,-5.652890195543121E19
118,-4.7056705448806273E23,2.541370978932072E24,-5.701205496359736E19
119,-4.745549108820281E23,2.5629080211264123E24,-5.749520797176351E19
120,-4.785427672759935E23,2.5844450633207524E24,-5.797836097992966E19
121,-4.8253062366995884E23,2.6059821055150925E24,-5.846151398809581E19
122,-4.865184800639242E23,2.6275191477094325E24,-5.894466699626196E19
123,-4.905063364578896E23,2.6490561899037726E24,-5.942782000442811E19
124,-4.9449419285185495E23,2.6705932320981127E24,-5.991097301259426E19
125,-4.984820492458203E23,2.692130274292453E24,-6.039412602076041E19
126,-5.024699056397857E23,2.713667316486793E24,-6.087727902892656E19
127,-5.0645776203375105E23,2.735204358681133E24,-6.136043203709271E19
128,-5.104456184277164E23,2.756741400875473E24,-6.184358504525886E19
129,-5.144334748216818E23,2.778278443069813E24,-6.232673805342501E19
130,-5.1842133121564716E23,2.799815485264153E24,-6.280989106159116E19
131,-5.224091876096125E23,2.8213525274584933E24,-6.329304406975731E19
132,-5.263970440035779E23,2.8428895696528334E24,-6.377619707792346E19
133,-5.3038490039754326E23,2.8644266118471734E24,-6.425935008608961E19
134,-5.343727567915086E23,2.8859636540415135E24,-6.474250309425576E19
135,-5.38360613185474E23,2.9075006962358536E24,-6.522565610242191E19
136,-5.423484695794394E23,2.9290377384301937E24,-6.570880911058806E19
137,-5.4633632597340474E23,2.950574780624534E24,-6.619196211875421E19
138,-5.503241823673701E23,2.972111822818874E24,-6.667511512692036E19
139,-5.543120387613355E23,2.993648865013214E24,-6.7158268135086514E19
140,-5.5829989515530084E23,3.015185907207554E24,-6.7641421143252664E19
141,-5.622877515492662E23,3.036722949401894E24,-6.8124574151418814E19
142,-5.662756079432316E23,3.058259991596234E24,-6.8607727159584965E19
143,-5.7026346433719695E23,3.079797033790574E24,-6.9090880167751115E19
144,-5.742513207311623E23,3.1013340759849143E24,-6.9574033175917265E19
145,-5.782391771251277E23,3.1228711181792544E24,-7.0057186184083415E19
146,-5.8222703351909305E23,3.1444081603735945E24,-7.0540339192249565E19
147,-5.862148899130584E23,3.1659452025679346E24,-7.1023492200415715E19
148,-5.902027463070238E23,3.1874822447622747E24,-7.1506645208581865E19
149,-5.9419060270098916E23,3.209019286956615E24,-7.1989798216748016E19
150,-5.981784590949545E23,3.230556329150955E24,-7.2472951224914166E19
151,-6.021663154889199E23,3.252093371345295E24,-7.2956104233080316E19
152,-6.061541718828853E23,3.273630413539635E24,-7.343925724124647E19
153,-6.101420282768506E23,3.295167455733975E24,-7.39224102494126E19
154,-6.14129884670816E23,3.316704497928315E24,-7.440556325757875E19
155,-6.181177410647814E23,3.338241540122655E24,-7.48887162657449E19
156,-6.221055974587467E23,3.3597785823169953E24,-7.537186927391103E19
157,-6.260934538527121E23,3.3813156245113354E24,-7.585502228207718E19
158,-6.300813102466775E23,3.4028526667056755E24,-7.633817529024332E19
159,-6.340691666406428E23,3.4243897089000156E24,-7.682132829840946E19
160,-6.380570230346082E23,3.4459267510943556E24,-7.73044813065756E19
161,-6.420448794285736E23,3.4674637932886957E24,-7.778763431474174E19
162,-6.46032735822539E23,3.489000835483036E24,-7.827078732290789E19
163,-6.500205922165043E23,3.510537877677376E24,-7.875394033107403E19
164,-6.540084486104697E23,3.532074919871716E24,-7.923709333924017E19
165,-6.57996305004435E23,3.553611962066056E24,-7.972024634740631E19
166,-6.619841613984004E23,3.575149004260396E24,-8.020339935557245E19
167,-6.659720177923658E23,3.596686046454736E24,-8.06865523637386E19
168,-6.699598741863312E23,3.6182230886490763E24,-8.116970537190474E19
169,-6.739477305802965E23,3.6397601308434164E24,-8.165285838007088E19
170,-6.779355869742619E23,3.6612971730377565E24,-8.213601138823702E19
171,-6.819234433682273E23,3.6828342152320965E24,-8.261916439640316E19
172,-6.859112997621926E23,3.7043712574264366E24,-8.31023174045693E19
173,-6.89899156156158E23,3.7259082996207767E24,-8.358547041273545E19
174,-6.938870125501234E23,3.747445341815117E24,-8.406862342090159E19
175,-6.978748689440887E23,3.768982384009457E24,-8.455177642906773E19
176,-7.018627253380541E23,3.790519426203797E24,-8.503492943723387E19
177,-7.058505817320195E23,3.812056468398137E24,-8.551808244540001E19
178,-7.098384381259848E23,3.833593510592477E24,-8.600123545356616E19
179,-7.138262945199502E23,3.855130552786817E24,-8.64843884617323E19
180,-7.178141509139156E23,3.8766675949811573E24,-8.696754146989844E19
181,-7.21802007307881E23,3.8982046371754974E24,-8.745069447806458E19
182,-7.257898637018463E23,3.9197416793698374E24,-8.793384748623072E19
183,-7.297777200958117E23,3.9412787215641775E24,-8.841700049439687E19
184,-7.33765576489777E23,3.9628157637585176E24,-8.890015350256301E19
185,-7.377534328837424E23,3.9843528059528577E24,-8.938330651072915E19
186,-7.417412892777078E23,4.005889848147198E24,-8.98664595188953E19
187,-7.457291456716732E23,4.027426890341538E24,-9.034961252706143E19
188,-7.497170020656385E23,4.048963932535878E24,-9.083276553522758E19
189,-7.537048584596039E23,4.070500974730218E24,-9.131591854339372E19
190,-7.576927148535693E23,4.092038016924558E24,-9.179907155155986E19
191,-7.616805712475346E23,4.113575059118898E24,-9.2282224559726E19
192,-7.656684276415E23,4.135112101313238E24,-9.276537756789214E19
193,-7.696562840354654E23,4.1566491435075783E24,-9.324853057605829E19
194,-7.736441404294307E23,4.1781861857019184E24,-9.373168358422443E19
195,-7.776319968233961E23,4.1997232278962585E24,-9.421483659239057E19
196,-7.816198532173615E23,4.2212602700905986E24,-9.469798960055671E19
197,-7.856077096113268E23,4.2427973122849387E24,-9.518114260872285E19
198,-7.895955660052922E23,4.264334354479279E24,-9.5664295616889E19
199,-7.935834223992576E23,4.285871396673619E24,-9.614744862505514E19
200,-7.97571278793223E23,4.307408438867959E24,-9.663060163322128E19
201,-8.015591351871883E23,4.328945481062299E24,-9.711375464138742E19
202,-8.055469915811537E23,4.350482523256639E24,-9.759690764955356E19
203,-8.09534847975119E23,4.372019565450979E24,-9.80800606577197E19
204,-8.135227043690844E23,4.393556607645319E24,-9.856321366588585E19
205,-8.175105607630498E23,4.4150936498396593E24,-9.904636667405199E19
206,-8.214984171570152E23,4.4366306920339994E24,-9.952951968221813E19
207,-8.254862735509805E23,4.4581677342283395E24,-1.0001267269038427E20
208,-8.294741299449459E23,4.4797047764226796E24,-1.0049582569855042E20
209,-8.334619863389113E23,4.5012418186170197E24,-1.0097897870671656E20
210,-8.374498427328766E23,4.52277886081136E24,-1.014621317148827E20
211,-8.41437699126842E23,4.5443159030057E24,-1.0194528472304884E20
212,-8.454255555208074E23,4.56585294520004E24,-1.0242843773121498E20
213,-8.494134119147727E23,4.58738998739438E24,-1.0291159073938113E20
214,-8.534012683087381E23,4.60892702958872E24,-1.0339474374754727E20
215,-8.573891247027035E23,4.63046407178306E24,-1.0387789675571341E20
216,-8.613769810966688E23,4.6520011139774E24,-1.0436104976387955E20
217,-8.653648374906342E23,4.6735381561717403E24,-1.048442027720457E20
218,-8.693526938845996E23,4.6950751983660804E24,-1.0532735578021183E20
219,-8.73340550278565E23,4.7166122405604205E24,-1.0581050878837798E20
220,-8.773284066725303E23,4.7381492827547606E24,-1.0629366179654412E20
221,-8.813162630664957E23,4.7596863249491006E24,-1.0677681480471026E20
222,-8.85304119460461E23,4.7812233671434407E24,-1.072599678128764E20
223,-8.892919758544264E23,4.802760409337781E24,-1.0774312082104254E20
224,-8.932798322483918E23,4.824297451532121E24,-1.0822627382920869E20
225,-8.972676886423572E23,4.84583449372646E24,-1.0870942683737483E20
226,-9.012555450363225E23,4.8673715359208E24,-1.0919257984554097E20
227,-9.052434014302879E23,4.888908578115141E24,-1.0967573285370711E20
228,-9.092312578242533E23,4.910445620309481E24,-1.1015888586187325E20
229,-9.132191142182186E23,4.931982662503821E24,-1.106420388700394E20
230,-9.17206970612184E23,4.953519704698161E24,-1.1112519187820554E20
231,-9.211948270061494E23,4.975056746892501E24,-1.1160834488637168E20
